tool,size,t_load,m_graph,t_first,t_rest
jena,10000,0.233325348,148080,0.002531672,0.001230802
jena,10000,0.262244704,150368,0.002591895,0.001098912
jena,10000,0.245091394,140468,0.002522077,0.001151507
jena,10000,0.253807943,145308,0.002308393,0.001249405
jena,20000,0.35744664,247660,0.002822255,0.002423507
jena,20000,0.306856482,190472,0.002769707,0.001955491
jena,20000,0.330530068,196552,0.002674002,0.002193762
jena,20000,0.475640241,259328,0.004572214,0.002664266
jena,40000,0.468486815,367320,0.002469642,0.003014903
jena,40000,0.461842941,363544,0.002651703,0.00289861
jena,40000,0.429678587,360744,0.003360055,0.004107601
jena,40000,0.459717887,385604,0.002480952,0.002390125
jena,80000,0.608454859,372760,0.002855456,0.004843903
jena,80000,0.566560897,392328,0.002995903,0.00499393
jena,80000,0.612682925,419660,0.002881819,0.004168485
jena,80000,0.650165692,441716,0.002598555,0.003991493
jena,100000,0.673739467,385728,0.002468033,0.006579385
jena,100000,0.677604003,373584,0.003173651,0.00531551
jena,100000,0.660334555,371720,0.002744075,0.007272754
jena,100000,0.654553167,371336,0.002742839,0.005554788
